avis_id,entreprise_id,date,canal,note,texte_avis
A0086,E024,2023-01-01,Site web,3,Rien à signaler de particulier.
A0250,E068,2023-01-07,Site web,1,Le prix ne correspond pas du tout à la qualité. Le délai de livraison a été beaucoup trop long.
A0130,E044,2023-01-09,Application mobile,4,
A0231,E023,2023-01-09,Réseaux sociaux,1,TROP D'ERREURS DANS LE TRAITEMENT DE MA COMMANDE.!!!
A0243,E023,2023-01-13,Application mobile,3,"Livraison rapide, je suis très satisfait."
A0059,E074,2023-01-14,Site web,3,
A0062,E042,2023-01-16,Site web,3,Un accompagnement personnalisé et efficace. Je recommande vivement cette entreprise.
A0262,E069,2023-01-16,Application mobile,1,"Une expérience décevante, je ne recommande pas.  Le site est peu clair et difficile à utiliser."
A0169,E032,2023-01-17,Site web,2,"LE SERVICE EST STANDARD, COMME AILLEURS."
A0049,E025,2023-01-17,Réseaux sociaux,3,Rien à signaler de particulier.
A0235,E052,2023-01-17,Site web,2,Personne n'a pris en charge ma réclamation.
A0153,E036,2023-01-17,Site web,4,Très bonne expérience du début à la fin.
A0153,E036,2023-01-17,Site web,4,Très bonne expérience du début à la fin.
A0089,E020,2023-01-18,Site web,5,LE SERVICE CLIENT A ÉTÉ TRÈS RÉACTIF. LE RAPPORT QUALITÉ-PRIX EST EXCELLENT.
A0289,E010,2023-01-18,Site web,5,Le service client a été très réactif. L'équipe a été à l'écoute de mes besoins.!!!
A0063,E005,2023-01-25,Réseaux sociaux,1,Le site est peu clair et difficile à utiliser.
A0027,E058,2023-01-30,Application mobile,4,Le produit correspond parfaitement à mes attentes.  Très bonne expérience du début à la fin.
A0236,E020,2023-01-31,Site web,5,UN ACCOMPAGNEMENT PERSONNALISÉ ET EFFICACE.
A0012,E077,2023-02-01,Application mobile,3,"Une expérience correcte, sans plus."
A0042,E065,2023-02-02,Site web,1,Rien à signaler de particulier.
A0214,E011,2023-02-02,Site web,2,"Le service est standard, comme ailleurs."
A0093,E057,2023-02-02,Site web,2,Le prix ne correspond pas du tout à la qualité.  Trop d'erreurs dans le traitement de ma commande.
A0002,E075,2023-02-03,Application mobile,5,"Livraison rapide, je suis très satisfait."
