repondant_id,date_debut,duree_secondes,progression_pct,termine,age,genre,secteur,taille_entreprise,anciennete_annees,q1_ambiance,q2_reconnaissance,q3_charge_travail_inv,q4_evolution,q_attention,q5_recommandation,commentaire
R0001,2024-03-03,425,100,True,31,Homme,Santé,Moyenne (50-250),4.6,2,1,2,4.0,4.0,4.0,
R0002,2024-03-24,312,44,False,28,Femme,Industrie,Petite (<50),4.3,5,2,4,,,,
R0003,2024-03-20,260,100,True,34,Autre / ne se prononce pas,Technologies,Petite (<50),9.1,4,1,4,3.0,4.0,4.0,Le management pourrait davantage communiquer sur les décisions.
R0004,2024-03-14,387,71,False,24,Homme,Industrie,Moyenne (50-250),7.7,2,3,5,,,,
R0005,2024-03-13,84,100,True,44,Femme,Technologies,Petite (<50),7.6,3,3,3,3.0,4.0,5.0,
R0006,2024-03-26,98,100,True,35,Homme,Commerce,Petite (<50),8.0,3,3,3,1.0,4.0,3.0,Je me sens peu reconnu(e) dans mon travail au quotidien.
R0007,2024-03-03,351,100,True,23,Femme,Services aux entreprises,Grande (>250),9.1,4,5,4,3.0,3.0,5.0,
R0008,2024-03-21,285,100,True,27,Autre / ne se prononce pas,Technologies,Grande (>250),0.0,4,4,4,3.0,4.0,3.0,
R0009,2024-03-07,302,27,False,41,Homme,Services aux entreprises,Grande (>250),4.2,2,4,3,,,,
R0010,2024-03-03,160,100,True,46,Homme,Santé,Moyenne (50-250),0.0,3,2,3,4.0,4.0,3.0,Le management pourrait davantage communiquer sur les décisions.
R0011,2024-03-16,277,100,True,57,Femme,Services aux entreprises,Grande (>250),6.2,3,2,4,3.0,4.0,3.0,Rien de particulier à signaler.
R0012,2024-03-30,460,100,True,65,Homme,Santé,Moyenne (50-250),6.0,5,3,2,2.0,4.0,3.0,Le management pourrait davantage communiquer sur les décisions.
R0013,2024-03-23,25,100,True,42,Femme,Technologies,Petite (<50),11.2,2,3,3,3.0,4.0,4.0,
R0014,2024-03-23,295,100,True,28,Femme,Commerce,Petite (<50),11.9,5,1,3,3.0,1.0,4.0,
R0015,2024-03-22,240,100,True,20,Femme,Technologies,Grande (>250),7.0,4,3,4,3.0,2.0,3.0,"L'ambiance générale est agréable, mais les perspectives d'évolution manquent de clarté."
R0016,2024-03-24,244,23,False,40,Homme,Services aux entreprises,Petite (<50),3.5,2,3,3,,,,
R0017,2024-03-16,88,100,True,29,Femme,Services aux entreprises,Moyenne (50-250),8.4,3,3,1,4.0,4.0,3.0,
R0018,2024-03-04,303,100,True,33,Homme,Industrie,Grande (>250),3.4,3,2,1,2.0,4.0,5.0,"Bonne équipe, charge de travail parfois difficile à gérer."
R0019,2024-03-26,356,100,True,31,Homme,Industrie,Petite (<50),6.0,2,2,2,3.0,4.0,3.0,Je me sens peu reconnu(e) dans mon travail au quotidien.
R0020,2024-03-14,16,100,True,36,Femme,Services aux entreprises,Petite (<50),10.9,4,3,2,4.0,4.0,5.0,Le management pourrait davantage communiquer sur les décisions.
R0021,2024-03-16,220,100,True,48,Femme,Industrie,Grande (>250),3.2,2,3,3,1.0,4.0,3.0,
R0022,2024-03-12,175,100,True,39,Femme,Santé,Moyenne (50-250),10.0,1,4,2,3.0,4.0,4.0,
R0023,2024-03-06,193,100,True,36,Homme,Santé,Petite (<50),9.4,3,4,3,2.0,4.0,2.0,
R0024,2024-03-28,284,42,False,27,Homme,Technologies,Grande (>250),1.2,2,3,3,,,,
R0025,2024-03-24,92,100,True,21,Femme,Technologies,Grande (>250),10.9,3,3,3,2.0,4.0,4.0,
R0026,2024-03-20,335,100,True,33,Homme,Services aux entreprises,Moyenne (50-250),9.5,3,3,5,3.0,4.0,5.0,
R0027,2024-03-13,347,100,True,37,Femme,Industrie,Moyenne (50-250),6.5,3,4,4,5.0,4.0,4.0,
R0028,2024-03-25,257,100,True,55,Homme,Commerce,Petite (<50),2.2,5,3,3,2.0,4.0,5.0,
R0029,2024-03-17,56,100,True,39,Homme,Services aux entreprises,Petite (<50),1.7,4,4,3,2.0,4.0,4.0,
R0030,2024-03-14,190,82,False,47,Homme,Santé,Moyenne (50-250),3.3,4,4,3,,,,
R0031,2024-03-14,390,100,True,33,Homme,Commerce,Petite (<50),8.7,2,4,4,5.0,4.0,3.0,
R0032,2024-03-07,29,100,True,26,Homme,Services aux entreprises,Grande (>250),1.2,3,5,4,2.0,4.0,5.0,
R0033,2024-03-03,248,100,True,28,Femme,Commerce,Grande (>250),8.2,4,2,2,3.0,4.0,3.0,
R0034,2024-03-17,173,100,True,30,Femme,Industrie,Petite (<50),0.0,3,3,3,2.0,3.0,3.0,
R0035,2024-03-27,352,100,True,59,Femme,Industrie,Moyenne (50-250),5.0,5,3,1,2.0,4.0,2.0,
R0036,2024-03-02,219,100,True,29,Homme,Commerce,Petite (<50),6.5,2,3,4,3.0,4.0,5.0,
R0037,2024-03-26,316,100,True,46,Homme,Industrie,Grande (>250),18.2,3,2,4,5.0,4.0,4.0,
R0038,2024-03-25,330,100,True,28,Homme,Industrie,Petite (<50),0.0,3,2,3,4.0,4.0,3.0,
R0039,2024-03-09,445,100,True,47,Homme,Commerce,Moyenne (50-250),13.4,4,3,5,2.0,4.0,5.0,
R0040,2024-03-19,261,100,True,41,Femme,Commerce,Moyenne (50-250),6.7,3,2,2,4.0,4.0,4.0,
R0041,2024-03-05,313,100,True,36,Homme,Services aux entreprises,Moyenne (50-250),8.1,3,3,4,2.0,4.0,5.0,Rien de particulier à signaler.
R0042,2024-03-23,146,32,False,37,Femme,Industrie,Grande (>250),6.6,3,2,3,,,,
R0043,2024-03-22,387,100,True,31,Femme,Commerce,Grande (>250),8.2,3,2,3,4.0,4.0,3.0,
R0044,2024-03-11,211,100,True,42,Homme,Services aux entreprises,Moyenne (50-250),5.2,4,3,3,4.0,4.0,3.0,
R0045,2024-03-03,229,100,True,33,Autre / ne se prononce pas,Santé,Grande (>250),13.3,4,3,3,4.0,4.0,2.0,
R0046,2024-03-30,277,100,True,25,Homme,Technologies,Grande (>250),3.7,4,4,4,2.0,4.0,5.0,
R0047,2024-03-14,139,100,True,25,Femme,Santé,Moyenne (50-250),11.7,3,5,5,3.0,4.0,3.0,
R0048,2024-03-27,300,100,True,39,Homme,Commerce,Moyenne (50-250),2.8,4,3,3,4.0,4.0,4.0,Le management pourrait davantage communiquer sur les décisions.
R0049,2024-03-21,367,100,True,53,Femme,Services aux entreprises,Petite (<50),5.7,3,3,4,3.0,4.0,5.0,
R0050,2024-03-24,306,100,True,39,Homme,Services aux entreprises,Grande (>250),0.6,3,2,3,3.0,4.0,3.0,"L'ambiance générale est agréable, mais les perspectives d'évolution manquent de clarté."
R0051,2024-03-23,136,100,True,36,Homme,Santé,Moyenne (50-250),8.3,4,2,4,1.0,4.0,3.0,
R0052,2024-03-06,268,100,True,40,Femme,Santé,Moyenne (50-250),13.2,5,5,3,3.0,4.0,4.0,
R0053,2024-03-11,346,100,True,51,Femme,Santé,Petite (<50),5.6,2,2,4,4.0,4.0,4.0,
R0054,2024-03-15,110,100,True,40,Femme,Technologies,Grande (>250),5.0,4,2,5,2.0,4.0,3.0,"L'ambiance générale est agréable, mais les perspectives d'évolution manquent de clarté."
R0055,2024-03-15,183,100,True,33,Autre / ne se prononce pas,Services aux entreprises,Moyenne (50-250),0.4,2,3,3,4.0,4.0,3.0,"Bonne équipe, charge de travail parfois difficile à gérer."
R0056,2024-03-02,358,100,True,49,Homme,Services aux entreprises,Grande (>250),4.9,4,3,1,3.0,4.0,5.0,
R0057,2024-03-17,304,100,True,42,Homme,Santé,Petite (<50),0.0,5,2,3,4.0,4.0,4.0,
R0058,2024-03-05,317,78,False,53,Homme,Commerce,Grande (>250),1.4,4,3,5,,,,
R0059,2024-03-23,447,100,True,39,Homme,Commerce,Petite (<50),7.1,4,4,4,2.0,4.0,2.0,
R0060,2024-03-21,322,100,True,25,Femme,Santé,Petite (<50),12.6,3,2,4,1.0,4.0,5.0,"L'ambiance générale est agréable, mais les perspectives d'évolution manquent de clarté."
R0061,2024-03-28,339,35,False,24,Homme,Commerce,Grande (>250),20.0,4,2,4,,,,
R0062,2024-03-23,523,100,True,54,Femme,Commerce,Grande (>250),3.1,3,4,4,4.0,4.0,3.0,"L'ambiance générale est agréable, mais les perspectives d'évolution manquent de clarté."
R0063,2024-03-11,260,100,True,55,Homme,Services aux entreprises,Petite (<50),13.2,3,3,5,2.0,4.0,3.0,Rien de particulier à signaler.
R0064,2024-03-30,208,100,True,36,Homme,Commerce,Moyenne (50-250),7.2,3,2,4,2.0,4.0,4.0,"Bonne équipe, charge de travail parfois difficile à gérer."
R0065,2024-03-13,318,100,True,34,Homme,Santé,Grande (>250),5.2,4,1,5,1.0,4.0,4.0,
R0066,2024-03-10,319,100,True,52,Homme,Santé,Grande (>250),8.2,3,2,4,5.0,4.0,2.0,
R0067,2024-03-28,232,100,True,26,Femme,Commerce,Moyenne (50-250),6.3,3,3,4,4.0,4.0,3.0,
R0068,2024-03-12,187,100,True,29,Homme,Services aux entreprises,Moyenne (50-250),6.6,2,4,3,4.0,4.0,4.0,
R0069,2024-03-03,487,100,True,44,Femme,Santé,Grande (>250),4.0,4,2,3,4.0,4.0,3.0,"Bonne équipe, charge de travail parfois difficile à gérer."
R0070,2024-03-15,309,100,True,34,Homme,Technologies,Grande (>250),0.0,4,3,5,3.0,4.0,4.0,"Bonne équipe, charge de travail parfois difficile à gérer."
R0071,2024-03-24,214,100,True,37,Femme,Commerce,Grande (>250),0.0,4,4,4,3.0,4.0,2.0,"L'ambiance générale est agréable, mais les perspectives d'évolution manquent de clarté."
R0072,2024-03-06,362,88,False,36,Femme,Services aux entreprises,Moyenne (50-250),9.3,5,1,4,,,,
R0073,2024-03-14,270,100,True,41,Femme,Technologies,Petite (<50),4.6,4,4,3,2.0,4.0,5.0,Je me sens peu reconnu(e) dans mon travail au quotidien.
R0074,2024-03-04,257,100,True,52,Femme,Technologies,Grande (>250),3.0,4,2,3,5.0,4.0,4.0,
R0075,2024-03-21,330,100,True,38,Homme,Industrie,Grande (>250),6.0,4,3,3,3.0,4.0,4.0,"L'ambiance générale est agréable, mais les perspectives d'évolution manquent de clarté."
R0076,2024-03-15,163,100,True,44,Homme,Commerce,Grande (>250),10.0,4,3,5,2.0,4.0,3.0,Je me sens peu reconnu(e) dans mon travail au quotidien.
R0077,2024-03-10,311,100,True,20,Homme,Santé,Petite (<50),6.9,3,4,4,3.0,4.0,3.0,Je me sens peu reconnu(e) dans mon travail au quotidien.
R0078,2024-03-07,452,73,False,37,Femme,Commerce,Petite (<50),2.7,5,4,2,,,,
R0079,2024-03-17,321,100,True,29,Femme,Commerce,Grande (>250),12.1,3,1,3,4.0,4.0,5.0,
R0080,2024-03-21,246,100,True,25,Femme,Commerce,Petite (<50),13.9,3,2,5,2.0,4.0,3.0,
R0081,2024-03-29,234,100,True,29,Homme,Industrie,Grande (>250),8.5,4,3,3,3.0,4.0,3.0,"L'ambiance générale est agréable, mais les perspectives d'évolution manquent de clarté."
R0082,2024-03-14,243,100,True,34,Femme,Industrie,Moyenne (50-250),10.9,4,3,1,4.0,4.0,3.0,
R0083,2024-03-05,257,100,True,47,Femme,Commerce,Grande (>250),12.2,2,3,5,3.0,2.0,4.0,
R0084,2024-03-25,245,100,True,24,Femme,Santé,Grande (>250),11.7,5,4,4,3.0,4.0,3.0,
R0085,2024-03-19,362,100,True,38,Homme,Industrie,Moyenne (50-250),9.1,4,4,3,3.0,4.0,4.0,
R0086,2024-03-22,124,100,True,33,Femme,Commerce,Moyenne (50-250),9.0,2,3,3,3.0,3.0,4.0,
