entreprise_id,annee,secteur,region,annee_creation,teletravail,effectifs,chiffre_affaires_keur,rentabilite,satisfaction_rh
E001,2019,Industrie,Occitanie,2018,1,529,115830.2,0.1706,7.7
E001,2020,Industrie,Occitanie,2018,1,590,125110.5,0.1497,6.7
E001,2021,Industrie,Occitanie,2018,1,610,123760.0,0.1594,5.5
E001,2022,Industrie,Occitanie,2018,1,652,127441.6,0.1703,8.2
E001,2023,Industrie,Occitanie,2018,1,731,140627.0,0.0057,7.0
E002,2019,Technologies,Nouvelle-Aquitaine,2009,1,381,75355.0,0.1907,8.0
E002,2020,Technologies,Nouvelle-Aquitaine,2009,1,379,72634.8,0.102,5.4
E002,2021,Technologies,Nouvelle-Aquitaine,2009,1,378,77716.4,0.1693,8.0
E002,2022,Technologies,Nouvelle-Aquitaine,2009,1,346,83106.0,0.1043,7.7
E002,2023,Technologies,Nouvelle-Aquitaine,2009,1,384,73128.4,0.0645,7.9
E003,2019,Technologies,Île-de-France,2001,0,160,21970.6,0.1021,7.7
E003,2020,Technologies,Île-de-France,2001,0,159,24060.0,0.1441,6.8
E003,2021,Technologies,Île-de-France,2001,0,164,25302.1,0.0282,6.3
E003,2022,Technologies,Île-de-France,2001,0,166,26837.3,0.14,5.0
E003,2023,Technologies,Île-de-France,2001,0,168,30823.0,0.0354,5.3
E004,2019,Services aux entreprises,Occitanie,2001,1,505,83434.1,0.1007,9.0
E004,2020,Services aux entreprises,Occitanie,2001,1,542,92807.6,0.1332,10.0
E004,2021,Services aux entreprises,Occitanie,2001,1,553,82108.6,0.1963,6.5
E004,2022,Services aux entreprises,Occitanie,2001,1,573,94405.5,0.0039,5.3
E004,2023,Services aux entreprises,Occitanie,2001,1,544,92656.1,0.1264,7.8
E005,2019,Services aux entreprises,Hauts-de-France,2002,0,266,38847.3,-0.0586,6.6
E005,2020,Services aux entreprises,Hauts-de-France,2002,0,265,41440.4,0.1221,6.7
E005,2021,Services aux entreprises,Hauts-de-France,2002,0,280,43443.5,0.1118,5.5
E005,2022,Services aux entreprises,Hauts-de-France,2002,0,283,45430.7,0.1292,5.9
E005,2023,Services aux entreprises,Hauts-de-France,2002,0,296,45827.4,0.0729,7.7
E006,2019,Santé,Hauts-de-France,2013,1,239,48740.8,0.0111,3.8
E006,2020,Santé,Hauts-de-France,2013,1,238,53856.3,0.0829,7.4
E006,2021,Santé,Hauts-de-France,2013,1,258,62000.2,0.0959,9.0
E006,2022,Santé,Hauts-de-France,2013,1,267,60636.7,0.0643,5.0
E006,2023,Santé,Hauts-de-France,2013,1,263,61628.7,0.1482,9.5
E007,2019,Industrie,Île-de-France,1999,0,214,39270.5,0.0176,7.2
E007,2020,Industrie,Île-de-France,1999,0,217,34696.6,0.1357,5.7
E007,2021,Industrie,Île-de-France,1999,0,215,32768.1,0.0407,7.1
E007,2022,Industrie,Île-de-France,1999,0,218,34612.8,0.1017,8.3
E007,2022,Industrie,Île-de-France,1999,0,218,34612.8,0.1017,8.3
E007,2023,Industrie,Île-de-France,1999,0,218,31561.7,0.144,6.0
E008,2019,Technologies,Auvergne-Rhône-Alpes,1994,0,90,12273.9,0.0721,7.0
E008,2020,Technologies,Auvergne-Rhône-Alpes,1994,0,101,14681.5,0.0842,6.7
E008,2021,Technologies,Auvergne-Rhône-Alpes,1994,0,108,14128.7,0.1,6.5
E008,2022,Technologies,Auvergne-Rhône-Alpes,1994,0,112,13610.6,-0.0154,3.6
E008,2023,Technologies,Auvergne-Rhône-Alpes,1994,0,108,13519.5,0.0624,9.2
E009,2019,Commerce,Hauts-de-France,1999,0,503,59046.6,0.1009,5.9
E009,2020,Commerce,Hauts-de-France,1999,0,506,61693.4,0.1172,6.0
E009,2021,Commerce,Hauts-de-France,1999,0,543,57908.2,0.0804,10.0
E009,2022,Commerce,Hauts-de-France,1999,0,560,66285.1,0.0855,7.3
E009,2023,Commerce,Hauts-de-France,1999,0,570,67370.0,0.0332,7.1
E010,2019,Industrie,Occitanie,1990,1,21,3220.2,0.1651,7.6
E010,2020,Industrie,Occitanie,1990,1,21,3482.0,0.0815,8.4
E010,2021,Industrie,Occitanie,1990,1,20,3545.2,-0.0194,5.0
E010,2022,Industrie,Occitanie,1990,1,22,3958.6,0.0568,5.0
E010,2023,Industrie,Occitanie,1990,1,19,3964.7,0.2452,7.7
